"adult","budget","homepage","tmdbId","imdb_id","original_language","original_title","popularity","release_date","revenue","runtime","status","tagline","title","video","vote_average","vote_count"
"False","0","","58372","tt0114241","en","Reckless","0.119713","1995-11-17",0,91,"Released","The most twisted Christmas ever.","Reckless","False",10,1
"False","0","","278939","tt0113173","en","Girl in the Cadillac","0.405392","1995-10-24",0,89,"Released","On our first date... we robbed a bank","Girl in the Cadillac","False",10,1
"False","0","","73183","tt0113270","en","The Haunted World of Edward D. Wood, Jr.","0.037443","1996-05-01",0,112,"Released","Can your MIND stand the SHOCKING TRUTH?","The Haunted World of Edward D. Wood, Jr.","False",10,1
"False","0","","255546","tt0109381","pt","Carmen Miranda: Bananas Is My Business","0.146287","1995-04-13",0,91,"Released","","Carmen Miranda: Bananas Is My Business","False",10,1
"False","0","","64562","tt0119845","en","Other Voices Other Rooms","0.03668","1995-09-15",0,0,"Released","","Other Voices Other Rooms","False",10,1
"False","0","","78373","tt0118925","en","Dancer, Texas Pop. 81","0.567444","1998-05-01",565592,97,"Released","in the middle of nowhere they had everything","Dancer, Texas Pop. 81","False",10,1
"False","0","http://www.thefarmerswifefilm.co.uk/","143750","tt2140519","en","The Farmer's Wife","0.211754","2012-06-20",0,18,"Released","","The Farmer's Wife","False",10,1
"False","0","","89861","tt0120210","en","Stiff Upper Lips","0.882132","1998-06-12",0,99,"Released","","Stiff Upper Lips","False",10,1
"False","0","","124853","tt0114008","en","Ten Benny","0.064219","1995-04-09",0,108,"Released","","Ten Benny","False",10,1
"False","0","","49477","tt0192069","en","Gendernauts: A Journey Through Shifting Identities","0.073744","1999-06-12",0,87,"Released","","Gendernauts: A Journey Through Shifting Identities","False",10,2
"False","0","","54968","tt0161977","en","Simon Magus","0.313628","1999-02-17",0,101,"Released","misfit - outcast - turncoat - prophet - hero","Simon Magus","False",10,1
"False","0","","114524","tt0097099","en","Common Threads: Stories from the Quilt","0.544277","1989-12-01",0,79,"Released","","Common Threads: Stories from the Quilt","False",10,2
"False","0","","27079","tt0338467","en","Stuey","0.888157","2003-05-01",0,120,"Released","","High Roller: The Stu Ungar Story","False",10,1
"False","0","","34662","tt0053001","en","Li'l Abner","0.611118","1959-12-11",0,114,"Released","","Li'l Abner","False",10,1
"False","0","","43147","tt0022696","en","Blessed Event","0.090803","1932-09-10",0,80,"Released","Here it is! The scandalous comedy of a scandal columnist who rose FROM A KEYHOLE TO A NATIONAL INSTITUTION","Blessed Event","False",10,1
"False","0","","68736","tt0067275","en","Joe Cocker - Mad Dogs & Englishmen","0.035284","1971-08-27",0,117,"Released","Joe Cocker","Joe Cocker - Mad Dogs & Englishmen","False",10,1
"False","0","","61648","tt0039847","en","Something in the Wind","0.222832","1947-07-21",0,94,"Released","","Something in the Wind","False",10,1
"False","0","","42173","tt0079278","en","Chilly Scenes of Winter","0.009192","1979-10-19",0,92,"Released","A romantic comedy for all seasons.","Chilly Scenes of Winter","False",10,1
"False","0","","43034","tt0053901","en","Hell to Eternity","0.157003","1960-08-01",0,131,"Released","The Marines' Battle Cry of the South Pacific!","Hell to Eternity","False",10,1
"False","0","","38971","tt0358631","en","Pavement: Slow Century","0.042737","2002-10-22",0,85,"Released","","Pavement: Slow Century","False",10,1
"False","130","","234937","tt0906743","en","Forever","0.554205","2006-10-05",0,97,"Released","","Forever","False",10,1
"False","0","","125512","tt0080629","en","Dinosaurs!  A Fun-Filled Trip Back In Time","0.004948","1987-01-01",0,30,"Released","","Dinosaurs!  A Fun-Filled Trip Back In Time","False",10,1
"False","0","","37255","tt0428040","en","Ween: Live in Chicago","0.043068","2004-05-04",0,120,"Released","","Ween: Live in Chicago","False",10,1
"False","0","","211256","tt0029077","ja","Kaze no naka no kodomo","0.046349","1937-01-01",0,88,"Released","","Children in the Wind","False",10,1
"False","0","","47282","tt0095530","en","Little Dorrit","0.424104","1987-12-11",0,357,"Released","","Little Dorrit","False",10,1
"False","0","","96451","tt1587373","en","If God Is Willing and da Creek Don't Rise","0.109599","2010-08-23",0,255,"Released","","If God Is Willing and da Creek Don't Rise","False",10,1
"False","5","","195651","tt0120754","en","The Misadventures of Margaret","0.196886","1998-12-23",0,105,"Released","","The Misadventures of Margaret","False",10,1
"False","0","","109887","tt0041672","en","My Foolish Heart","0.065284","1950-01-21",0,98,"Released","","My Foolish Heart","False",10,1
"False","0","","115427","tt0292081","hu","Macbeth","0.017296","1982-01-01",0,72,"Released","","Macbeth","False",10,1
"False","0","","263532","tt0403962","en","The Danube Exodus","0.036519","1998-07-29",0,60,"Released","","The Danube Exodus","False",10,1
"False","0","","123320","tt1433817","en","Säilöttyjä unelmia","0.043575","2012-01-25",0,75,"Released","","Canned Dreams","False",10,1
"False","0","","75132","tt0098023","en","Ollie Hopnoodle's Haven of Bliss","0.016421","1988-08-05",0,89,"Released","","Ollie Hopnoodle's Haven of Bliss","False",10,1
"False","0","","105567","tt1854364","en","The Union","0.355876","2012-01-01",0,87,"Released","","The Union","False",10,1
"False","0","","148408","tt0412608","it","La cotta","0.03688","1967-02-16",0,49,"Released","","The Crush","False",10,1
"False","0","","21317","tt1326839","en","Paramore: The Final Riot!","0.059843","2008-10-25",0,70,"Released","","Paramore: The Final Riot!","True",10,1
